company_id,year,cfo,cfi,cff,sales,net_profit,operating_profit,free_cash_flow,capex_intensity,capex_classification,fcf_conversion_rate,cfo_pat_ratio,capital_allocation
AXISBANK,2016,-34495.0,9211.0,22495.0,40988.0,8224.0,13367.0,-25284.0,22.47243095540158,Capital Intensive,-189.15239021470788,-4.19443093385214,Distress Signal
BAJAJFINSV,2013,-6922.0,2953.0,4592.0,8055.0,2214.0,3931.0,-3969.0,36.660459342023586,Capital Intensive,-100.96667514627322,-3.1264679313459802,Distress Signal
BAJAJFINSV,2014,-9807.0,3764.0,6521.0,6023.0,2191.0,4491.0,-6043.0,62.49377386684376,Capital Intensive,-134.55800489868625,-4.476038338658147,Distress Signal
BAJAJFINSV,2015,-10731.0,3709.0,6839.0,11335.0,2409.0,5511.0,-7022.0,32.721658579620645,Capital Intensive,-127.41789148974777,-4.454545454545454,Distress Signal
BAJAJFINSV,2017,-10922.0,151.0,12513.0,24507.0,3450.0,8713.0,-10771.0,0.6161504876157833,Asset Light,-123.61987834270629,-3.165797101449275,Distress Signal
BAJAJFINSV,2022,-33670.0,1445.0,32326.0,68406.0,8314.0,21455.0,-32225.0,2.1123878022395695,Asset Light,-150.19808902353765,-4.049795525619437,Distress Signal
BAJFINANCE,2018,-20566.0,1075.0,19503.0,12746.0,2496.0,4115.0,-19491.0,8.434018515612742,Capital Intensive,-473.65735115431346,-8.239583333333334,Distress Signal
BAJFINANCE,2022,-37090.0,6347.0,32275.0,31641.0,7028.0,11880.0,-30743.0,20.059416579754117,Capital Intensive,-258.7794612794613,-5.277461582242458,Distress Signal
BHEL,2020,-2892.0,1877.0,1622.0,21463.0,-1468.0,-133.0,-1015.0,8.745282579322556,Capital Intensive,763.1578947368421,1.9700272479564032,Distress Signal
BHEL,2023,-741.0,1480.0,89.0,23365.0,654.0,1044.0,739.0,6.334260646265783,Moderate,70.78544061302682,-1.1330275229357798,Distress Signal
BHEL,2024,-3713.0,1331.0,2656.0,23893.0,282.0,711.0,-2382.0,5.570669233666764,Moderate,-335.0210970464135,-13.166666666666666,Distress Signal
CHOLAFIN,2013,-3754.0,5.0,4067.0,2570.0,308.0,688.0,-3749.0,0.19455252918287938,Asset Light,-544.9127906976744,-12.188311688311689,Distress Signal
CHOLAFIN,2022,-5571.0,1640.0,5150.0,10148.0,2154.0,2926.0,-3931.0,16.160819865983445,Capital Intensive,-134.34723171565278,-2.586350974930362,Distress Signal
DLF,2017,-898.0,872.0,787.0,8221.0,708.0,3446.0,-26.0,10.60698211896363,Capital Intensive,-0.7544979686593152,-1.268361581920904,Distress Signal
GRASIM,2018,-4140.0,1546.0,3449.0,55894.0,3688.0,11612.0,-2594.0,2.7659498336136257,Asset Light,-22.338959696865313,-1.1225596529284165,Distress Signal
HAL,2019,-7694.0,5292.0,2321.0,20008.0,2346.0,4569.0,-2402.0,26.44942023190724,Capital Intensive,-52.571678704311665,-3.279624893435635,Distress Signal
INDUSINDBK,2020,-12039.0,526.0,12733.0,28783.0,4418.0,12611.0,-11513.0,1.827467602404197,Asset Light,-91.2933153596067,-2.724988682661838,Distress Signal
IRFC,2016,-16378.0,2.0,17582.0,7507.0,849.0,7468.0,-16376.0,0.026641800985746637,Asset Light,-219.2822710230316,-19.290930506478208,Distress Signal
IRFC,2017,-19455.0,2.0,18250.0,9047.0,934.0,9021.0,-19453.0,0.02210677572676025,Asset Light,-215.64128145438423,-20.829764453961456,Distress Signal
IRFC,2018,-28076.0,2.0,28075.0,9267.0,2055.0,9229.0,-28074.0,0.021581957483543756,Asset Light,-304.19330371654564,-13.662287104622871,Distress Signal
IRFC,2019,-41748.0,1.0,41749.0,11134.0,2255.0,11085.0,-41747.0,0.008981498113885397,Asset Light,-376.60802886783944,-18.51352549889135,Distress Signal
IRFC,2020,-62701.0,1.0,62697.0,13421.0,3192.0,13355.0,-62700.0,0.0074510096118024,Asset Light,-469.48708348932985,-19.64317042606516,Distress Signal
IRFC,2021,-89907.0,0.0,90202.0,15771.0,4416.0,15657.0,-89907.0,0.0,Asset Light,-574.2287794596666,-20.359375,Distress Signal
IRFC,2023,-28588.0,0.0,28644.0,23722.0,6167.0,23588.0,-28588.0,0.0,Asset Light,-121.19721892487705,-4.635641316685585,Distress Signal
LICI,2022,-3783.0,12531.0,0.0,723606.0,4125.0,3326.0,8748.0,1.731743517881278,Asset Light,263.0186410102225,-0.9170909090909091,Distress Signal
LT,2018,-10031.0,3914.0,9370.0,119683.0,8004.0,20111.0,-6117.0,3.2703057242883284,Moderate,-30.41619014469693,-1.253248375812094,Distress Signal
PFC,2013,-25102.0,22.0,27947.0,17314.0,4438.0,5987.0,-25080.0,0.12706480304955528,Asset Light,-418.9076332052781,-5.65615141955836,Distress Signal
PFC,2014,-22473.0,9.0,17671.0,21407.0,5462.0,7607.0,-22464.0,0.042042322604755454,Asset Light,-295.30695412120417,-4.1144269498352255,Distress Signal
PFC,2018,-57148.0,1409.0,52018.0,48624.0,8797.0,11752.0,-55739.0,2.897745969068773,Asset Light,-474.2937372362151,-6.496305558713198,Distress Signal
PFC,2021,-59143.0,1741.0,60424.0,71656.0,15716.0,19871.0,-57402.0,2.4296639499832535,Asset Light,-288.8732323486488,-3.763234919826928,Distress Signal
PNB,2018,-1742.0,392.0,7460.0,48725.0,-12111.0,,-1350.0,0.8045151359671626,Asset Light,,0.14383618198332096,Distress Signal
RECLTD,2013,-20059.0,152.0,16059.0,13634.0,3833.0,13270.0,-19907.0,1.1148599090509022,Asset Light,-150.01507159005274,-5.233237672841117,Distress Signal
RECLTD,2014,-17244.0,136.0,16815.0,17223.0,4741.0,16650.0,-17108.0,0.7896417581141497,Asset Light,-102.75075075075075,-3.6372073402235814,Distress Signal
RECLTD,2015,-23898.0,151.0,23098.0,20544.0,5344.0,19395.0,-23747.0,0.7350077881619937,Asset Light,-122.43877287960814,-4.4719311377245505,Distress Signal
RECLTD,2018,-32510.0,46.0,28244.0,22658.0,4451.0,19279.0,-32464.0,0.20301880130638186,Asset Light,-168.39047668447535,-7.303976634464165,Distress Signal
RECLTD,2019,-35866.0,457.0,35543.0,25408.0,5741.0,23705.0,-35409.0,1.7986460957178843,Asset Light,-149.37354988399073,-6.247343668350462,Distress Signal
RECLTD,2020,-32712.0,121.0,33926.0,29942.0,4972.0,25961.0,-32591.0,0.4041146216017634,Asset Light,-125.53830746119179,-6.579243765084473,Distress Signal
RECLTD,2021,-43512.0,861.0,42113.0,35557.0,8378.0,32265.0,-42651.0,2.421464128019799,Asset Light,-132.1896792189679,-5.1936022917164,Distress Signal
SBIN,2018,-96508.0,13053.0,5547.0,228970.0,-3749.0,-86697.0,-83455.0,5.700746822727868,Moderate,96.26053958037764,25.742331288343557,Distress Signal
SHRIRAMFIN,2018,-13142.0,86.0,13014.0,13502.0,2549.0,3805.0,-13056.0,0.6369426751592357,Asset Light,-343.1274638633377,-5.155747351902707,Distress Signal
SHRIRAMFIN,2023,-17625.0,5076.0,11820.0,30492.0,6020.0,8799.0,-12549.0,16.646989374262102,Capital Intensive,-142.618479372656,-2.9277408637873754,Distress Signal
